?human	?humanLabel	?representedParty	?representedPartyLabel	?representedGroup	?representedGroupLabel	?electedInDistrict	?electedInDistrictLabel	?startDate	?endDate	?parliamentaryTerm	?parliamentaryTermLabel
<http://www.wikidata.org/entity/Q79073>	"Eva Lichtenberger"@en	<http://www.wikidata.org/entity/Q193178>	"Die Grünen"@en	<http://www.wikidata.org/entity/Q751935>	"The Greens–European Free Alliance"@en	<http://www.wikidata.org/entity/Q4825411>	"Austria"@en	"2004-07-20T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2009-07-13T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q4642661>	"Sixth European Parliament"@en
<http://www.wikidata.org/entity/Q79074>	"Johannes Voggenhuber"@en	<http://www.wikidata.org/entity/Q193178>	"Die Grünen"@en	<http://www.wikidata.org/entity/Q751935>	"The Greens–European Free Alliance"@en	<http://www.wikidata.org/entity/Q4825411>	"Austria"@en	"1999-07-20T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2004-07-19T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q16836722>	"Fifth European Parliament"@en
<http://www.wikidata.org/entity/Q79074>	"Johannes Voggenhuber"@en	<http://www.wikidata.org/entity/Q193178>	"Die Grünen"@en	<http://www.wikidata.org/entity/Q751935>	"The Greens–European Free Alliance"@en	<http://www.wikidata.org/entity/Q4825411>	"Austria"@en	"2004-07-20T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2009-07-13T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q4642661>	"Sixth European Parliament"@en
<http://www.wikidata.org/entity/Q79074>	"Johannes Voggenhuber"@en	<http://www.wikidata.org/entity/Q193178>	"Die Grünen"@en	<http://www.wikidata.org/entity/Q3777459>	"The Green Group in the European Parliament"@en	<http://www.wikidata.org/entity/Q4825411>	"Austria"@en	"1995-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1999-07-19T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q17315706>	"Fourth European Parliament"@en
<http://www.wikidata.org/entity/Q104492>	"Norbert Neuser"@en	<http://www.wikidata.org/entity/Q49768>	"Social Democratic Party of Germany"@en	<http://www.wikidata.org/entity/Q507343>	"Progressive Alliance of Socialists and Democrats"@en	<http://www.wikidata.org/entity/Q1350565>	"Germany"@en	"2009-07-14T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2014-06-30T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q4644021>	"Seventh European Parliament"@en
<http://www.wikidata.org/entity/Q104492>	"Norbert Neuser"@en	<http://www.wikidata.org/entity/Q49768>	"Social Democratic Party of Germany"@en	<http://www.wikidata.org/entity/Q507343>	"Progressive Alliance of Socialists and Democrats"@en	<http://www.wikidata.org/entity/Q1350565>	"Germany"@en	"2014-05-25T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>		<http://www.wikidata.org/entity/Q17315694>	"Eighth European Parliament"@en
<http://www.wikidata.org/entity/Q104881>	"Kerstin Westphal"@en	<http://www.wikidata.org/entity/Q49768>	"Social Democratic Party of Germany"@en	<http://www.wikidata.org/entity/Q507343>	"Progressive Alliance of Socialists and Democrats"@en	<http://www.wikidata.org/entity/Q1350565>	"Germany"@en	"2009-07-14T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2014-06-30T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q4644021>	"Seventh European Parliament"@en
<http://www.wikidata.org/entity/Q104881>	"Kerstin Westphal"@en	<http://www.wikidata.org/entity/Q49768>	"Social Democratic Party of Germany"@en	<http://www.wikidata.org/entity/Q507343>	"Progressive Alliance of Socialists and Democrats"@en	<http://www.wikidata.org/entity/Q1350565>	"Germany"@en	"2014-05-25T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>		<http://www.wikidata.org/entity/Q17315694>	"Eighth European Parliament"@en
<http://www.wikidata.org/entity/Q104992>	"Stefan Dittrich"@en										
<http://www.wikidata.org/entity/Q105761>	"Klaus Buchner"@en	<http://www.wikidata.org/entity/Q294989>	"Ecological Democratic Party"@en	<http://www.wikidata.org/entity/Q751935>	"The Greens–European Free Alliance"@en	<http://www.wikidata.org/entity/Q1350565>	"Germany"@en	"2014-07-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2019-07-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q17315694>	"Eighth European Parliament"@en
